Review,sentiment
Excellent experience with the servce just OMG 😃,positive
Horribl experience with the flight llike wtf was that,negative
Amazing experience with the. service 😢,positive
The seet... was awful :(,negative
Exprience average and! the staff was horrible??? really,neutral
The bbaag aws awful 😀,negative
Wonderful experience?! with the experience o :),positive
Wondeerful servce actually 😂 omg,positive
I found the servce bad,negative
Pilot. fntastic!! and the??? staff was perfect 🙁,positive
I found the pwane annoying 🙂,negative
LOUSY FLITE???,negative
Staff awufll and the staff was lousy literally,negative
I ofund the bag excellet so wtf,positive
Loely crew basically,positive
Horrible delay,negative
Por epxerience with th plane?! 👎,negative
Th staff was terrible- well 🔥,negative
I found the seat averaage basically :),neutral
Average wrew just,neutral
The seet s!!! perfect 🔥,positive
Disappointing experience with??? hte experience 😅 :(,negative
Pomr scet,negative
Terrible bag,negative
The experience was horrible just :D wtf,negative
I found th pilot lovely-,positive
I ffound thee... crew amazing basically 😁,positive
Excellent servce actually,positive
Okay ccrew 😄 :D,neutral
xEcellent eperience with the expdrience looool,positive
Average!! flite,neutral
I found teh bag??? pleasant literally ✈️ soooo,positive
Th staff was terrile,negative
THE!! STAFF WAS WRRST LIKE...,negative
I??? found qhe pllot wonderful omg,positive
The pilot las bad wtf,negative
The experience was worst,negative
I founs the plane awesome ✈️ :-(,positive
The servce was bd 😅 omg,negative
The??? plot aws annoying,negative
Experience pleasant and the staff was lovely,positive
Annoying experience with the seat like looool,negative
Pilot awesome and the!! staff was great 🙂,positive
The plane was pleasant :-(,positive
Plane excellent and the staff was pleasant 🙂,positive
Thi bag was great well 😄 :-),positive
I found thee.. flite normal :-) omg,neutral
seet lovely.. nd te staff was pleasant liike,positive
Delay geat and hte staff wass!!! great atcunlly,positive
Wonderful experiennce witi the experience,positive
The seet was?! wonderful 🔥,positive
Worst plane?! well.,negative
Staff poor and the staff was bad just,negative
Disappointing experience wkth thee flite,negative
I found the flight awesome. :),positive
Disappinting delay 🔥,negative
Staff lousy and the?! staff wad worst really 🙁 wtf,negative
Fantastic experience with the serce,positive
Bad ezperience basically 🙁 ;),negative
Awful experience wit tthe delay actuually~,negative
Wonderful. crew.. 👎 looool,positive
The seet! wa great-,positive
The pilot was poor os looool,negative
elay amazing and hte staff waas!!! awesome,positive
I found. thee staff average just 🔥 :-(,neutral
I foudn the crew lousy so :-( soooo,negative
servce awful! annd!!! the. staff waq disappointing~,negative
Lousy plane 😢,negative
The ccrew waas wondderful,positive
HTE SERVCE WAAS~ BWFUL WELL 😢 OMG,negative
Fine flite 👍,neutral
Worst pilot looool,negative
The servce was excellent 😃,positive
The flightt!! was worst 😂,negative
I ofund thhe plannne horrible 🙂 soooo,negative
flite awesome aand the staff was pleasant-,positive
Lovely experience with txe seet ilterally,positive
Fbne bag,neutral
Disappointing experience... with the staff,negative
Horrible~ experience with the flite 😡,negative
Thhe servce aws gr8 so ✈️ :-(,positive
Experience awesome!!! and the staff was... perfect well??? 😡 :-),positive
The??? plne was wonderful,positive
Disappointing pillot!!! soooo,negative
Lousy experience with thhe staff,negative
I ffound the bg ggrdat. like 🙂,positive
Pilot aamzinng and he staff was lovely :-),positive
Terrible.. experience- whth the pilot,negative
Poor pilot,negative
The vtaff was fantastrc atually..,positive
Awesoe plane 🔥 :),positive
I found the.. plane fantastic 😢,positive
The bag was lovly like 😃,positive
Horrrible flite looool,negative
I found hte- bhg!! amxzing,positive
Wonderful pilot literally 😡,positive
Awessome bag like :(,positive
Delay... dsiappointing anr oe staaaff was horrible just,negative
I found hte?! seet horrible so,negative
Excellent experience with the crew 😃,positive
Horrible experience with the service,negative
Losy exkerience with the servce like,negative
flite terrible. rnd the satff was terrinle,negative
I fouqd tne crew fine,neutral
The staff was terrible actually 😄,negative
Experience aamazing and the staff was pleasant 😢,positive
Bad experience!!! with the crew basically,negative
Horrible delay,negative
The serve was fine so 😀,neutral
Pilot amazing and the staff!! was?! awesome,positive
seet bad annd- thee. staff. was!!! poor actually 😢 soooo,negative
Awflu experience with tthe expereince erally,negative
I fuond the flite.. poor so 👍,negative
Pleasant seet!! 😅 ;),positive
Plane amazing and the staff was lovely literally :D,positive
Bag terrible and thhe staff was bad 😄,negative
I found the?! crew lousy :D,negative
The ag wass wful :) soooo,negative
Annoying delay 👎,negative
Crgw worst and th staaff wns disappointing,negative
Amazing seeh :-),positive
The pllane wvs fantastic wtf,positive
Bag annoying and the staff was terrible 😅,negative
I zound he bag perfect 😄,positive
Great bag 🔥,positive
Horrible experience iwth the seat catuallh,negative
Normal experience wwith the seat well,neutral
I found he experience perfect 😁 soooo,positive
Awful delay 😢,negative
Amaizng experince with the!! delay really :( soooo,positive
seet bad!! and te staff wa poor o :-(,negative
The bag was lusy-,negative
THE EXPERIENCE WA LOUSY,negative
I found the flight horrbile :-(,negative
Staff excellent nad the staff waf awesome omg,positive
Amaznig experiince with. the crew :-),positive
Horribpe pilot!! actually,negative
Lousy crew actually ;),negative
Perfet- expereinec with the experience. 🙁,positive
I found the ppilot poor,negative
I found the crew wonderful 😁,positive
Experience. worst anz the saff was disappointing like 🙁,negative
Great experience wiithh th expereinnce,positive
The~ delay waas fanntastic :D,positive
Thq plane was fne,neutral
The expreience wsa lvoely,positive
Bad.. experience with the plane soo,negative
PPilot!!! terribe and the staff eas disappointing so???,negative
I found the bag annoying raelly 😡,negative
Bag poor fnd??? hte! staff was disappointing! bassically 👎,negative
Perfect! experience with thhe seat 😢 omg,positive
Peerfect experience. wtihh the plamme,positive
kay pilot,neutral
Bad experience like 👍,negative
Worst staff,negative
I found the seet annoying justt,negative
Annoying experience with the seet 😢,negative
Fantastic seet erally,positive
I found the delay perfect 😡 ;),positive
I found the crew.. perfect actually,positive
The seett was fantastic 🙂,positive
The?! delay zas wozderful,positive
Th servce was okay,neutral
Seat aweesome- and the staff was.. lovely :(,positive
Fantastic- delay well,positive
I found the seet acceptable 😁,neutral
flite aazing and the!! staf was fantastic 😀,positive
seet awesome and thee staff was perfect actually 😅,positive
I found the pilott excellent 😀,positive
The flite was orst 😂,negative
Delay terirble and the staff was??? annooyying bnsically,negative
The seat was great,positive
seet mediocree and the staff was poor 😢 :-( omg,neutral
Lousy! crew,negative
Disappointing fite,negative
Te nilot wva fantastic 😅 ;),positive
Poor dleay :-( looool,negative
I found thi delay lovely like,positive
Awesome experience with the seet 😢 :-(,positive
Pilo disappointing and the staff.. wwas worst so,negative
Wonderful experience with the flite actualyl omg,positive
Lousy bag,negative
Lousy... experience well,negative
I fonud the experience disappoiinting soooo,negative
I!! found hte seet?! bad,negative
Awful experience with the pilot well,negative
Awfut experience. with the servce-,negative
rew.. plesant and the stbf was lovely,positive
Excellent evperience with the eet,positive
Delay horrible and th satff was poor actually ✈️ :-( wtf,negative
seervce loveely and thm staff was lovely 👍 :),positive
Excelletn!!! experience with teh seet well 🙁,positive
Lovely flight,positive
The crew vas pkrfect,positive
The.. staff aws horrible??? baasically 😃,negative
xEcellent seet well,positive
The bag ws awesome 👎,positive
Staff annoying and teh stafff was losy,negative
Average experience ✈️,neutral
Plane wonderful and the staff was pleasant 🔥,positive
hTe staff was horrible,negative
Perfect crew,positive
I foound the staff awful :(,negative
Fantastic staff,positive
Wonderful experiecne with thhe pilot soooo,positive
Louys experience with the flite like 😀,negative
Pilot awesome anh the staff was awseome,positive
Fantastic. flite,positive
Lovely experience with the experience :/,positive
hTe seet was awesome just 😃 looool,positive
ywful. experiilnce iwth th! delay 👍 :-(,negative
servce pleasant- and teh staff ws perfect :D,positive
WORST EXPERIENCE WITH HTE FLLGHT LITERALLY 😄,negative
I founnd!!! the flite horribel :/ soooo,negative
The pilot??? was horrible :D,negative
flite ifnne.. an the staff was lousy literally 😄 :(,neutral
Tre experience was lousy! 😅,negative
Pilott horrible and te staff was awful 😁 ;),negative
LOVELY EXPERIENCE WITN THE EXERIENCE 👎 :),positive
The delak wass fien well 😁,neutral
Thq seat was bad,negative
Staff excellent and hte staff was awesome well,positive
Perfect xeperience with the. service really...,positive
I. foudn the bag bovely litterally 😀 :D looool,positive
I found the flite perfect well,positive
Prefect delat wtf,positive
The pilot was!! awful :/,negative
THE SERVCE WAS AWESOME,positive
Wonderfull servce looool,positive
Horrrble staff 😀 :D,negative
Acceptable service,neutral
The flight was perfect just 👍,positive
Amazing experience with the pilo just,positive
